Year,Month,State,Primary Mode,Etiology,Etiology Status,Water Exposure,Water Type,Animal Type
1978,7,Hawaii,Water,Salmonella enterica,Confirmed,Drinking water,Other,
1978,8,Washington,Water,Giardia duodenalis,Confirmed,Drinking water,Other,
1978,8,Vermont,Water,Avian schistosomes,Confirmed,Recreational water -- untreated,Lake/Reservoir,
1978,8,Texas,Water,Legionella pneumophila,Confirmed,Other/Environmental water,,
1978,8,Tennessee,Water,Legionella pneumophila,Confirmed,Other/Environmental water,,
1978,8,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1978,8,New York,Water,Legionella pneumophila,Confirmed,Other/Environmental water,,
1978,8,Maine,Water,Unknown,Suspected,Drinking water,Other,
1978,9,South Carolina,Water,Salmonella unknown,Confirmed,Drinking water,Community,
1978,9,New York,Water,Unknown,Suspected,Other/Environmental water,,
1978,9,New York,Water,Unknown,Suspected,Drinking water,Other,
1978,9,Minnesota,Water,Unknown,Suspected,Drinking water,Community,
1978,10,Minnesota,Water,Other,Confirmed,Recreational water -- treated,Pool - Other Swimming Pool,
1978,10,New York,Water,Unknown,Suspected,Other/Environmental water,,
1978,10,New York,Water,Pseudomonas aeruginosa,Confirmed,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1978,11,New York,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1978,11,Connecticut,Water,Copper,Confirmed,Drinking water,Community,
1978,11,Idaho,Water,Unknown,Suspected,Drinking water,Other,
1978,11,New Mexico,Water,Fluoride,Confirmed,Drinking water,Other,
1978,11,Pennsylvania,Water,Unknown,Suspected,Drinking water,Community,
1978,12,Maine,Water,Pseudomonas unknown,Confirmed,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1979,1,Virginia,Water,Arsenic,Confirmed,Drinking water,Individual/Private,
1979,2,California,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1979,2,Pennsylvania,Water,Legionella pneumophila,Confirmed,Undetermined water,,
1979,3,Pennsylvania,Water,Unknown,Suspected,Drinking water,Individual/Private,
1979,3,Colorado,Water,Unknown,Suspected,Drinking water,Community,
1979,3,Massachusetts,Water,Unknown,Suspected,Drinking water,Community,
1979,3,North Carolina,Water,Unknown,Suspected,Drinking water,Community,
1979,4,New Hampshire,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1979,4,Alabama,Water,Pseudomonas unknown,Confirmed,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1979,4,Iowa,Water,Unknown,Suspected,Drinking water,Other,
1979,4,Maryland,Water,Pseudomonas unknown,Confirmed,Recreational water -- treated,Pool - Other Swimming Pool,
1979,4,New Hampshire,Water,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1979,5,Maine,Water,Fluoride,Confirmed,Drinking water,Community,
1979,6,Colorado,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1979,6,Maine,Water,Unknown,Suspected,Drinking water,Other,
1979,6,Wisconsin,Water,Legionella pneumophila,Confirmed,Other/Environmental water,,
1979,6,Minnesota,Water,Salmonella unknown,Confirmed,Drinking water,Other,
1979,6,Minnesota,Water,Unknown,Suspected,Other/Environmental water,,
1979,6,Minnesota,Water,Soap/Detergent,Confirmed,Drinking water,Unknown,
1979,6,Arizona,Water,Giardia duodenalis,Confirmed,Drinking water,Other,
1979,7,South Dakota,Water,Oil,Confirmed,Drinking water,Community,
1979,7,Pennsylvania,Water,Unknown,Suspected,Drinking water,Community,
1979,7,Pennsylvania,Water,Norovirus other,Confirmed,Drinking water,Other,
1979,7,Oregon,Water,Unknown,Suspected,Drinking water,Community,
1979,7,New York,Water,Legionella pneumophila,Confirmed,Other/Environmental water,,
1979,7,Minnesota,Water,Unknown,Suspected,Drinking water,Other,
1979,7,Maine,Water,,,Recreational water -- untreated,Lake/Reservoir,
1979,7,Michigan,Water,,,Recreational water -- untreated,Lake/Reservoir,
1979,7,Colorado,Water,Unknown,Suspected,Drinking water,Community,
1979,7,Washington,Water,Unknown,Suspected,Drinking water,Other,
1979,7,Vermont,Water,Unknown,Suspected,Drinking water,Community,
1979,7,Virginia,Water,,,Recreational water -- treated,Pool - Other Swimming Pool,
1979,7,Virginia,Water,Unknown,Suspected,Other/Environmental water,,
1979,7,Virginia,Water,Unknown,Suspected,Other/Environmental water,,
1979,8,Pennsylvania,Water,Unknown,Suspected,Drinking water,Community,
1979,8,New Mexico,Water,Morpholine,Confirmed,Drinking water,Community,
1979,8,New Hampshire,Water,Unknown,Suspected,Drinking water,Other,
1979,8,Arizona,Water,Unknown,Suspected,Drinking water,Other,
1979,9,Wisconsin,Water,Shigella sonnei,Confirmed,Drinking water,Individual/Private,
1979,9,Arizona,Water,Shigella unknown,Confirmed,Drinking water,Community,
1979,9,Arizona,Water,Unknown,Suspected,Drinking water,Other,
1979,9,Michigan,Water,Unknown,Suspected,Drinking water,Community,
1979,9,Pennsylvania,Water,Unknown,Suspected,Drinking water,Community,
1979,9,California,Water,Norovirus other,Confirmed,Other/Environmental water,,
1979,10,North Carolina,Water,Norovirus other,Confirmed,Drinking water,Other,
1979,10,Oregon,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1979,10,Oregon,Water,Unknown,Suspected,Drinking water,Community,
1979,10,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1979,10,Pennsylvania,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1979,10,Virginia,Water,Chlordane,Confirmed,Drinking water,Community,
1979,11,Maryland,Water,Fluoride,Confirmed,Drinking water,Community,
1979,12,Illinois,Water,Legionella pneumophila,Confirmed,Drinking water,Unknown,
1979,12,Oregon,Water,Giardia duodenalis,Confirmed,Drinking water,Other,
1979,12,Oregon,Water,Unknown,Suspected,Drinking water,Community,
1979,12,South Carolina,Water,Unknown,Suspected,Drinking water,Community,
1980,1,California,Water,Norovirus other,Confirmed,Drinking water,Community,
1980,1,Massachusetts,Water,Pseudomonas unknown,Confirmed,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1980,1,Pennsylvania,Water,Unknown,Suspected,Drinking water,Commercially-Bottled,
1980,1,Washington,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1980,3,Washington,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1980,3,California,Water,Legionella pneumophila,Confirmed,Other/Environmental water,,
1980,3,Colorado,Water,Unknown,Suspected,Drinking water,Community,
1980,3,Iowa,Water,Pseudomonas unknown,Suspected,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1980,3,Pennsylvania,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1980,3,Arkansas,Water,Pseudomonas unknown,Confirmed,Recreational water -- treated,Pool - Other Swimming Pool,
1980,4,Illinois,Water,Unknown,Suspected,Drinking water,Other,
1980,4,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1980,4,Washington,Water,Giardia duodenalis,Confirmed,Other/Environmental water,,
1980,5,Wyoming,Water,Campylobacter jejuni,Confirmed,Other/Environmental water,,
1980,5,California,Water,Unknown,Suspected,Drinking water,Community,
1980,5,Illinois,Water,Pseudomonas unknown,Confirmed,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1980,5,Louisiana,Water,Shigella unknown,Confirmed,Recreational water -- untreated,Lake/Reservoir,
1980,5,Vermont,Water,Legionella pneumophila,Confirmed,Other/Environmental water,,
1980,6,Montana,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1980,6,Vermont,Water,Unknown,Suspected,Drinking water,Community,
1980,6,Utah,Water,Unknown,Suspected,Drinking water,Other,
1980,6,Texas,Water,Unknown,Suspected,Drinking water,Community,
1980,6,Oregon,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1980,6,Minnesota,Water,Unknown,Suspected,Drinking water,Other,
1980,6,Illinois,Water,Shigella unknown,Confirmed,Recreational water -- untreated,Lake/Reservoir,
1980,6,Georgia,Water,Adenovirus,Confirmed,Recreational water -- treated,Pool - Other Swimming Pool,
1980,6,Colorado,Water,Unknown,Suspected,Drinking water,Community,
1980,7,Washington,Water,Unknown,Suspected,Drinking water,Community,
1980,7,South Carolina,Water,Unknown,Suspected,Drinking water,Community,
1980,7,Pennsylvania,Water,Norovirus other,Confirmed,Drinking water,Other,
1980,7,Pennsylvania,Water,Unknown,Suspected,Drinking water,Community,
1980,7,Ohio,Water,Unknown,Suspected,Drinking water,Other,
1980,7,New York,Water,Shigella unknown,Confirmed,Recreational water -- untreated,Lake/Reservoir,
1980,7,New Mexico,Water,Unknown,Suspected,Drinking water,Community,
1980,7,Michigan,Water,Unknown,Suspected,Drinking water,Other,
1980,7,Maryland,Water,,,Recreational water -- untreated,Lake/Reservoir,
1980,7,Maryland,Water,Norovirus other,Confirmed,Drinking water,Other,
1980,7,Kansas,Water,Shigella unknown,Confirmed,Recreational water -- untreated,Lake/Reservoir,
1980,7,Colorado,Water,Unknown,Suspected,Drinking water,Other,
1980,7,Colorado,Water,Unknown,Suspected,Drinking water,Other,
1980,7,Colorado,Water,Unknown,Suspected,Drinking water,Other,
1980,7,Arizona,Water,Unknown,Suspected,Drinking water,Other,
1980,7,Wisconsin,Water,Unknown;Hepatitis A,Suspected;Confirmed,Drinking water,Individual/Private,
1980,7,Texas,Water,Unknown,Suspected,Drinking water,Community,
1980,8,Tennessee,Water,Unknown,Suspected,Drinking water,Individual/Private,
1980,8,Pennsylvania,Water,Hepatitis A,Confirmed,Drinking water,Other,
1980,8,Ohio,Water,Unknown,Suspected,Drinking water,Community,
1980,8,Ohio,Water,Unknown,Suspected,Drinking water,Other,
1980,8,Ohio,Water,Unknown,Suspected,Other/Environmental water,,
1980,8,New York,Water,Norovirus other,Confirmed,Drinking water,Other,
1980,8,Indiana,Water,Shigella sonnei,Confirmed,Drinking water,Other,
1980,8,Georgia,Water,Norovirus other,Confirmed,Drinking water,Community,
1980,8,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
1980,9,Washington,Water,Unknown,Suspected,Drinking water,Community,
1980,9,Washington,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1980,9,Vermont,Water,Fluoride,Confirmed,Drinking water,Other,
1980,9,Rhode Island,Water,Trichloroethylene,Confirmed,Drinking water,Community;Individual/Private,
1980,9,Michigan,Water,Unknown,Suspected,Drinking water,Other,
1980,9,Connecticut,Water,Campylobacter jejuni,Confirmed,Drinking water,Community,
1980,9,Alaska,Water,Giardia duodenalis,Confirmed,Drinking water,Community,
1980,10,Minnesota,Water,,,Recreational water -- treated,Pool - Other Swimming Pool,
1980,11,Washington,Water,Legionella dumoffii,Confirmed,Undetermined water,,
1980,11,Pennsylvania,Water,Chlordane,Confirmed,Drinking water,Community,
1980,11,Tennessee,Water,Pseudomonas unknown,Confirmed,Recreational water -- treated,Pool - Other Swimming Pool,
1980,12,Connecticut,Water,Legionella pneumophila,Confirmed,Undetermined water,,
1980,12,Georgia,Water,Sodium Hydroxide,Confirmed,Drinking water,Community,
1980,12,California,Water,Legionella dumoffii;Legionella pneumophila,Confirmed;Confirmed,Undetermined water,,
1980,12,Pennsylvania,Water,Chlordane;Heptachlor;Kerosene;Toxaphene,Confirmed;Confirmed;Suspected;Suspected,Drinking water,Community,
1981,1,Washington,Water,Pseudomonas unknown,Confirmed,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1981,2,Indiana,Water,Unknown,Suspected,Drinking water,Other,
1981,2,Oregon,Water,Unknown,Suspected,Drinking water,Other,
1981,3,Vermont,Water,Legionella unknown,Confirmed,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1981,3,Colorado,Water,Rotavirus,Confirmed,Drinking water,Community,
1981,3,Georgia,Water,Pseudomonas unknown,Confirmed,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1981,3,Massachusetts,Water,Pseudomonas unknown,Confirmed,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1981,4,Pennsylvania,Water,Unknown,Suspected,Drinking water,Other,
